rep,L,closed,numeric,abs_diff,max_K_drop
201,10,76.15545454361828,76.15545454361828,0.0,7.740041277337593
202,7,27.377463807863293,27.377463807863293,0.0,7.1113018625140185
203,7,11.11385453800022,11.113854538000218,1.7763568394002505e-15,6.514212050212687
204,5,55.29369436291827,55.29369436291827,0.0,3.015007674694231
205,5,8.388903215859434,8.388903215859434,0.0,0.2987665604253742
206,10,36.97474355907853,36.97474355907853,0.0,4.933968019901396
207,10,11.489229158402,11.489229158402,0.0,4.2069322542633465
208,10,26.593436335475438,26.593436335475438,0.0,5.531251862679445
209,5,10.577930056836449,10.577930056836449,0.0,4.481977542732086
210,4,44.93349883837029,44.93349883837029,0.0,1.4376511684077578
211,10,15.794505788645877,15.794505788645878,1.7763568394002505e-15,7.731979458933272
212,4,8.338078298193011,8.338078298193011,0.0,7.032562001326477
213,5,9.189235929454258,9.189235929454258,0.0,3.809266411982773
214,4,6.11051136842262,6.11051136842262,0.0,3.6663096690010617
215,9,26.25898519947802,26.25898519947802,0.0,6.466842538884184
216,2,18.74994724720076,18.74994724720076,0.0,0.0
217,9,43.973753806986956,43.973753806986956,0.0,4.341394324852994
218,8,11.00030367834813,11.00030367834813,0.0,3.995547956527625
219,2,17.96473652095578,17.96473652095578,0.0,0.0
220,3,50.035785162845194,50.035785162845194,0.0,1.2807651805326108
221,8,21.364450177332024,21.364450177332024,0.0,4.063760454929978
222,5,30.171468685678033,30.171468685678033,0.0,1.5237685280161801
223,7,25.76949628149971,25.76949628149971,0.0,2.290149591822705
224,10,37.16295112235824,37.16295112235824,0.0,4.171590256543783
225,5,16.87468341201432,16.87468341201432,0.0,6.581164362641896
226,9,37.17417343786039,37.17417343786039,0.0,7.191414880724644
227,10,81.66026328081045,81.66026328081045,0.0,7.836065619221306
228,6,8.807899897450444,8.807899897450444,0.0,6.036734956630173
229,7,13.25182609615931,13.25182609615931,0.0,4.967059928052173
230,6,13.816296300257513,13.816296300257513,0.0,3.0851644072249513
231,2,5.997280872375531,5.997280872375531,0.0,0.0
232,10,18.331893635340958,18.33189363534096,3.552713678800501e-15,4.0474639798104555
233,6,22.855763434494342,22.855763434494342,0.0,5.2234334293675
234,6,19.273987045769037,19.273987045769037,0.0,6.767044016139694
235,2,5.290805903188754,5.290805903188754,0.0,0.0
236,3,16.61824806959002,16.61824806959002,0.0,1.7729834827537956
237,4,36.17108864714208,36.17108864714208,0.0,4.8411276716432425
238,7,9.04620139203109,9.04620139203109,0.0,6.233204334457036
239,7,17.123448347204782,17.123448347204782,0.0,4.020211185625717
240,3,105.73025516261067,105.73025516261067,0.0,0.7284136342785219
241,8,25.464988883232696,25.464988883232696,0.0,3.512953058423032
242,3,1.9241359704578425,1.9241359704578425,0.0,0.0
243,10,18.61447780272862,18.61447780272862,0.0,5.0237055313455485
244,9,25.287930990576356,25.287930990576356,0.0,6.342030903996017
245,4,20.69517035891174,20.69517035891174,0.0,7.365582109690941
246,5,152.67832856626308,152.67832856626308,0.0,1.9328918127874641
247,7,40.444287262912866,40.444287262912866,0.0,4.6962029774163625
248,4,5.091230143658116,5.091230143658116,0.0,3.9683857527746307
249,10,24.33187590917964,24.33187590917964,0.0,3.6411964204990768
250,7,19.581295326090924,19.581295326090924,0.0,1.583440704821375
251,10,38.14104057340671,38.14104057340671,0.0,3.810472373937261
252,6,20.3804996973174,20.3804996973174,0.0,4.891956445532788
253,3,8.089469780325024,8.089469780325024,0.0,3.3049335401547095
254,10,51.36540046759321,51.36540046759321,0.0,6.409763362480911
255,6,22.54261363384578,22.54261363384578,0.0,4.985138751745748
256,2,16.970113712887546,16.970113712887546,0.0,0.6369694523488083
257,7,7.850557782683497,7.850557782683497,0.0,4.924348803264568
258,5,93.49128957895346,93.49128957895346,0.0,3.0877345388693263
259,2,4.568208574527802,4.568208574527802,0.0,0.0
260,4,7.6827555139527375,7.6827555139527375,0.0,3.478938794839738
261,2,4.840990730141428,4.840990730141428,0.0,1.9652781782296547
262,2,9.641888185954382,9.641888185954382,0.0,0.0
263,4,5.613191756814073,5.613191756814073,0.0,0.42732083532951737
264,9,51.38016434460017,51.38016434460017,0.0,2.756294329992341
265,9,45.42872096617972,45.42872096617972,0.0,5.273442568673037
266,7,23.65008390238809,23.65008390238809,0.0,7.471550202432551
267,7,39.367178294270204,39.367178294270204,0.0,4.146464541030906
268,6,50.29245340557469,50.29245340557469,0.0,4.096139103265995
269,6,25.659045797519973,25.659045797519973,0.0,5.8199749254810005
270,5,104.83246535739977,104.83246535739977,0.0,4.2841547118337715
271,4,5.817862336867041,5.817862336867041,0.0,1.6477971727597822
272,4,90.18455110844842,90.18455110844842,0.0,6.184455116714438
273,10,11.476738788461809,11.476738788461809,0.0,2.905731026489203
274,3,9.675127502380874,9.675127502380874,0.0,4.627745927609706
275,8,14.602855557308187,14.602855557308187,0.0,4.5019481090411695
276,7,9.593046104917441,9.593046104917441,0.0,5.992807510790279
277,8,19.781822406075847,19.781822406075847,0.0,4.479511357158101
278,4,9.06142621469783,9.061426214697832,1.7763568394002505e-15,0.0
279,4,13.543707145155166,13.543707145155166,0.0,1.7913913559056853
280,10,12.689347269918287,12.689347269918287,0.0,4.909834359383705
281,6,35.98727524413391,35.98727524413391,0.0,3.241105058944779
282,5,67.95040245826745,67.95040245826745,0.0,4.052412741717824
283,4,26.178129158723724,26.178129158723724,0.0,7.359226784942671
284,7,10.102184949737513,10.102184949737513,0.0,2.7199720936510627
285,3,6.251982063893881,6.251982063893881,0.0,1.6805141048947014
286,3,15.255900059885189,15.255900059885189,0.0,4.164949992724167
287,3,9.460744698064078,9.460744698064078,0.0,2.036670793892992
288,3,22.519883092262855,22.519883092262855,0.0,1.123904704656355
289,9,36.95820107175433,36.95820107175433,0.0,6.495191260053965
290,5,10.259603987976249,10.259603987976249,0.0,4.394617129966166
291,3,14.550136753506768,14.550136753506768,0.0,0.0
292,2,35.24721987533439,35.24721987533439,0.0,2.663487508738986
293,3,13.688117810822584,13.688117810822584,0.0,0.0
294,10,60.888481362384425,60.888481362384425,0.0,1.8793004947946352
295,5,6.376402589579797,6.376402589579797,0.0,3.3154513361324685
296,9,13.760082606070284,13.760082606070284,0.0,3.3228940872109596
297,10,21.997703780847587,21.997703780847587,0.0,6.025877467946012
298,5,11.088573673556885,11.088573673556885,0.0,2.3788603843187017
299,9,41.63890710436195,41.63890710436195,0.0,6.575514599348147
